S_no,Tahsil/Taluk,Village,Latitude,Longitude,Date_of_collection,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
50,Vellore,Thuthikadu,"12°47'26""","79°05'09""",01-12-1981,384.519457,13.17692308,64,58,81,5.964226244,74,121.0057919,0.626930769,8.2,64.25111999,Poor
51,Vellore,Vallam,"12°45'15""","79°09'18""",01-12-1981,384.519457,13.17692308,90,92,156,5.964226244,255,121.0057919,0.626930769,8,65.52446983,Poor
52,Vellore,P.S. Mangalam,"12°55'05""","79°03'00""",01-12-1981,384.519457,13.17692308,130,39,196,5.964226244,284,121.0057919,0.626930769,8.5,66.49326691,Poor
53,Vellore,Asanampattu,"12°42'17""","78°48'58""",01-12-1981,384.519457,13.17692308,26,52,127,5.964226244,82,121.0057919,0.626930769,8.9,67.78370343,Poor
54,Katpadi,Ponnai,"13°07'50""","79°15'35""",01-12-1981,384.519457,13.17692308,58.75113122,92,299,5.964226244,189.0329095,121.0057919,0.626930769,8.4,67.72817137,Poor
55,Walajahpet,Sholinghur,"13°06'25""","79°25'25""",01-12-1981,384.519457,13.17692308,84,28,230,5.964226244,262,121.0057919,0.626930769,8.3,64.10582473,Poor
56,Walajahpet,Neelakandaroyarpettai,"13°02'20""","79°22'05""",01-12-1981,384.519457,13.17692308,148,92,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,8.4,68.74384424,Poor
57,Walajahpet,Thalangai,"12°59'40""","79°25'28""",01-12-1981,384.519457,13.17692308,144,60,117,5.964226244,255,121.0057919,0.626930769,7.9,63.92621479,Poor
58,Walajahpet,Sumaithangi,"12°54'10""","79°26'30""",01-12-1981,384.519457,13.17692308,58.75113122,68,228,5.964226244,18,121.0057919,0.626930769,7.7,61.86338492,Poor
59,Walajahpet,Ammur,"12°57'30""","79°17'00""",01-12-1981,384.519457,13.17692308,62,33,115,5.964226244,82,121.0057919,0.626930769,7.8,60.56359343,Poor
60,Arcot,Melapalandai,"12°39'30""","79°23'42""",01-12-1981,384.519457,13.17692308,60,20,113,5.964226244,96,121.0057919,0.626930769,8.9,66.58491214,Poor
61,Arcot,Kalavai,"12°46'00""","79°23'05""",01-12-1981,384.519457,13.17692308,58.75113122,52.24729367,191,5.964226244,189.0329095,121.0057919,0.626930769,8.1,63.62734893,Poor
62,Arcot,Kaniyanur,"12°48'00""","79°21'25""",01-12-1981,384.519457,13.17692308,196,49,308,5.964226244,189.0329095,121.0057919,0.626930769,7.9,64.36410049,Poor
63,Arcot,Damaraipakkam,"12°45'25""","79°18'35""",01-12-1981,384.519457,13.17692308,94,27,85,5.964226244,113,121.0057919,0.626930769,8.8,66.77466501,Poor
64,Arcot,Varagur,"12°48'40""","79°14'15""",01-12-1981,384.519457,13.17692308,44,30,246,5.964226244,152,121.0057919,0.626930769,8.7,65.99052417,Poor
65,Arakkonam,Mosur,"13°05'02""","79°43'10""",01-12-1981,384.519457,13.17692308,164,83,449,5.964226244,189.0329095,121.0057919,0.626930769,8.4,69.00831004,Poor
66,Arakkonam,Poyapakkam,"13°02'23""","79°40'06""",01-12-1981,384.519457,13.17692308,52,16,154,5.964226244,103,121.0057919,0.626930769,8.3,62.69565892,Poor
