,vellore,Latitude,Longitude,Date,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
61,,"12°46'00""","79°23'05""",03-03-2010,384.519457,13.17692308,58.75113122,52.24729367,191,5.964226244,189.0329095,121.0057919,0.626930769,8.1,63.62734893,Poor
62,,"12°48'00""","79°21'25""",04-03-2010,384.519457,13.17692308,196,49,308,5.964226244,189.0329095,121.0057919,0.626930769,7.9,64.36410049,Poor
63,,"12°45'25""","79°18'35""",05-03-2010,384.519457,13.17692308,94,27,85,5.964226244,113,121.0057919,0.626930769,8.8,66.77466501,Poor
64,,"12°48'40""","79°14'15""",06-03-2010,384.519457,13.17692308,44,30,246,5.964226244,152,121.0057919,0.626930769,8.7,65.99052417,Poor
65,,"13°05'02""","79°43'10""",07-03-2010,384.519457,13.17692308,164,83,449,5.964226244,189.0329095,121.0057919,0.626930769,8.4,69.00831004,Poor
66,,"13°02'23""","79°40'06""",08-03-2010,384.519457,13.17692308,52,16,154,5.964226244,103,121.0057919,0.626930769,8.3,62.69565892,Poor
67,,"13°08'56""","79°42'17""",09-03-2010,384.519457,13.17692308,46,29,202,5.964226244,103,121.0057919,0.626930769,8.1,62.16012435,Poor
68,,"13°08'29""","79°36'40""",10-03-2010,384.519457,13.17692308,114,35,67,5.964226244,128,121.0057919,0.626930769,7.5,59.52028101,Poor
69,,"13°11'19""","79°39'18""",11-03-2010,384.519457,13.17692308,40,12,16,5.964226244,32,121.0057919,0.626930769,8.7,64.40551772,Poor
70,,"12°56'30""","79°08'00""",12-03-2010,384.519457,13.17692308,64,6,64,5.964226244,57,121.0057919,0.626930769,8.1,60.89099587,Poor
71,,"12°55'00""","79°12'00""",13-03-2010,384.519457,13.17692308,40,15,101,5.964226244,110,121.0057919,0.626930769,8.1,61.16367781,Poor
72,,"12°58'50""","79°39'00""",14-03-2010,384.519457,13.17692308,96,45,269,5.964226244,355,121.0057919,0.626930769,7.8,62.29490818,Poor
73,,"12°56'12""","79°35'35""",15-03-2010,384.519457,13.17692308,120,37,276,5.964226244,386,121.0057919,0.626930769,7.8,62.26413781,Poor
74,,"12°53'27""","79°30'50""",16-03-2010,384.519457,13.17692308,96,38,127,5.964226244,227,121.0057919,0.626930769,7.8,61.49664145,Poor
75,,"12°52'43""","79°27'32""",17-03-2010,384.519457,13.17692308,72,18,189,5.964226244,213,121.0057919,0.626930769,7.8,60.23103846,Poor
76,,"12°46'43""","78°56'11""",18-03-2010,384.519457,13.17692308,78,33,131,5.964226244,103,121.0057919,0.626930769,8.2,63.2818319,Poor
77,,"12°50'40""","79°06'40""",19-03-2010,384.519457,13.17692308,54,35,37,5.964226244,50,121.0057919,0.626930769,8.3,63.41495616,Poor
78,,"12°58'00""","79°03'00""",20-03-2010,384.519457,13.17692308,58.75113122,112,299,5.964226244,189.0329095,121.0057919,0.626930769,7.8,65.10539387,Poor
79,,"12°56'40""","78°52'10""",21-03-2010,384.519457,13.17692308,30,21,191,5.964226244,163,121.0057919,0.626930769,8.9,66.45700904,Poor
80,,"12°58'05""","79°12'25""",22-03-2010,384.519457,13.17692308,50,9,99,5.964226244,92,121.0057919,0.626930769,7.8,59.13472865,Poor
81,,"12°47'35""","78°53'00""",23-03-2010,384.519457,13.17692308,108,105,373,5.964226244,189.0329095,121.0057919,0.626930769,8.2,68.00702915,Poor
82,,"12°53'20""","78°46'00""",24-03-2010,384.519457,13.17692308,60,37,58,5.964226244,64,121.0057919,0.626930769,8,61.83000409,Poor
83,,"12°54'05""","78°56'30""",25-03-2010,384.519457,13.17692308,82,62,94,5.964226244,213,121.0057919,0.626930769,8,63.68569643,Poor
84,,"12°59'45""","78°54'40""",26-03-2010,384.519457,13.17692308,60,57,110,5.964226244,71,121.0057919,0.626930769,7.8,61.7568286,Poor
85,,"13°01'50""","78°10'48""",27-03-2010,384.519457,13.17692308,52,29,138,5.964226244,71,121.0057919,0.626930769,7.7,59.63903743,Poor
86,,"12°56'33""","79°11'49""",28-03-2010,384.519457,13.17692308,92,41,115,5.964226244,167,121.0057919,0.626930769,7.8,61.49888809,Poor
87,,"12°50'38""","78°55'49""",29-03-2010,384.519457,13.17692308,40,66,182,5.964226244,188,121.0057919,0.626930769,8.4,65.89218425,Poor
88,,"12°46'43""","78°56'11""",30-03-2010,384.519457,13.17692308,32,33,166,5.964226244,36,121.0057919,0.626930769,8.5,64.46038358,Poor
89,,"12°47'26""","79°05'09""",31-03-2010,384.519457,13.17692308,64,57,48,5.964226244,53,121.0057919,0.626930769,8.2,64.10898528,Poor
90,,"12°45'15""","79°09'18""",01-04-2010,384.519457,13.17692308,44,64,127,5.964226244,177,121.0057919,0.626930769,8.4,65.72317623,Poor
91,,"12°55'05""","79°03'00""",02-04-2010,384.519457,13.17692308,60,56,262,5.964226244,347,121.0057919,0.626930769,8.3,65.39366947,Poor
92,,"12°42'17""","78°48'58""",03-04-2010,384.519457,13.17692308,36,63,122,5.964226244,110,121.0057919,0.626930769,8.3,64.85768964,Poor
93,,"13°07'50""","79°15'35""",04-04-2010,384.519457,13.17692308,116,68,244,5.964226244,433,121.0057919,0.626930769,8.6,68.69190266,Poor
94,,"12°59'40""","79°25'28""",05-04-2010,384.519457,13.17692308,86,50,106,5.964226244,195,121.0057919,0.626930769,7.8,61.8998879,Poor
95,,"12°54'10""","79°26'30""",06-04-2010,384.519457,13.17692308,58.75113122,58,242,5.964226244,195,121.0057919,0.626930769,7.9,62.81228447,Poor
96,,"12°57'30""","79°17'00""",07-04-2010,384.519457,13.17692308,36,23,120,5.964226244,85,121.0057919,0.626930769,8.5,63.9687663,Poor
97,,"12°48'00""","79°21'25""",08-04-2010,384.519457,13.17692308,182,49,221,5.964226244,479,121.0057919,0.626930769,7.8,63.75225348,Poor
98,,"12°45'25""","79°18'35""",09-04-2010,384.519457,13.17692308,90,37,83,5.964226244,160,121.0057919,0.626930769,8.2,63.63272294,Poor
99,,"12°52'35""","79°15'45""",10-04-2010,384.519457,13.17692308,52,27,60,5.964226244,57,121.0057919,0.626930769,8.1,61.80607074,Poor
100,,"12°48'40""","79°14'15""",11-04-2010,384.519457,13.17692308,18,40,159,5.964226244,85,121.0057919,0.626930769,8.5,64.67710684,Poor
101,,"13°05'02""","79°43'10""",12-04-2010,384.519457,13.17692308,78,38,230,5.964226244,326,121.0057919,0.626930769,8.1,63.40106611,Poor
102,,"13°02'23""","79°40'06""",13-04-2010,384.519457,13.17692308,52,22,133,5.964226244,89,121.0057919,0.626930769,7.5,58.06889795,Poor
103,,"13°08'56""","79°42'17""",14-04-2010,384.519457,13.17692308,44,20,159,5.964226244,64,121.0057919,0.626930769,7.7,59.09394141,Poor
104,,"13°08'29""","79°36'40""",15-04-2010,384.519457,13.17692308,90,26,62,5.964226244,106,121.0057919,0.626930769,7.8,60.51460798,Poor
105,,"13°11'19""","79°39'18""",16-04-2010,384.519457,13.17692308,54,7,25,5.964226244,43,121.0057919,0.626930769,8.3,61.93123873,Poor
106,,"12°56'30""","79°08'00""",17-04-2010,384.519457,13.17692308,28,15,92,5.964226244,89,121.0057919,0.626930769,8.6,64.00388509,Poor
107,,"12°55'00""","79°12'00""",18-04-2010,384.519457,13.17692308,42,16,136,5.964226244,124,121.0057919,0.626930769,8.1,61.32864187,Poor
108,,"12°58'50""","79°39'00""",19-04-2010,384.519457,13.17692308,86,33,230,5.964226244,266,121.0057919,0.626930769,7.8,61.34793962,Poor
109,,"12°56'12""","79°35'35""",20-04-2010,384.519457,13.17692308,66,21,131,5.964226244,209,121.0057919,0.626930769,8.3,63.23562222,Poor
110,,"12°53'27""","79°30'50""",21-04-2010,384.519457,13.17692308,60,12,115,5.964226244,149,121.0057919,0.626930769,8.3,62.58029382,Poor
111,,"12°52'43""","79°27'32""",22-04-2010,384.519457,13.17692308,80,10,120,5.964226244,142,121.0057919,0.626930769,7.4,57.26458918,Poor
112,,"12°50'40""","79°06'40""",23-04-2010,384.519457,13.17692308,110,66,60,5.964226244,199,121.0057919,0.626930769,8.1,64.80661766,Poor
